label,value,description
"Beach/haul seines or surrounding nets near shore (recreational)","BEACH_REC",""
"Beach/haul seines or surrounding nets near shore (commercial)","BEACH_COM",""
"Bivalve dredge (mechanical - commercial only)","BIVALVE",""
"Gill nets (commercial only)","GILL_COM",""
"Traps (fish - commercial only)","TRAPS_COM",""
"Lines (jigs, hook and line, rod, troll - recreational)","LINE_REC",""
"Lines (jigs, hook and line, rod, troll - commercial)","LINE_COM",""
"Bivalve dredge (digging, raking by hand - recreational)","BI_DRE_REC",""
"Bivalve dredge (digging, raking by hand - commercial)","BI_DRE_COM",""
"Traps and pots (lobster, crab - recreational)","TP_REC",""
"Traps and pots (lobster, crab - commercial)","TP_COM",""
"Hand harvesting (recreational)","HH_REC",""
"Hand harvesting (commercial)","HH_COM",""
"Spearfishing/diving (recreational)","SP_REC",""
"Spearfishing/diving (commercial)","SP_COM",""
"Cast nets (recreational)","CAST_NETS",""
"None","none",""
